Year,Month,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,vol_750ml_sale_dollars,vol_1000ml_sale_dollars,vol_1750ml_sale_dollars,other_vol_sale_dollars
2013,1,11512.729999999965,17271.769999999913,10351,140748.8099999998,8971.470000000007,2371.4900000000257,83310.50999999973,44940.76000000008,8059.229999999996,4438.309999999998
2013,2,10723.609999999933,16116.979999999909,9930,125693.41999999963,8792.109999999999,2323.8700000000244,75112.81999999951,35974.60000000002,9005.900000000007,5600.100000000003
2013,3,11700.669999999924,17574.339999999946,11150,131901.29999999958,10087.86,2666.1500000000274,71584.47999999963,49158.78000000024,8465.869999999997,2692.1699999999983
2013,4,12610.169999999913,18919.789999999997,11864,141741.79999999923,10516.910000000002,2779.5600000000372,85733.24999999972,45098.120000000206,7204.649999999995,3705.779999999996
2013,5,12149.789999999932,18234.069999999996,10567,118874.48999999961,9567.710000000001,2528.7100000000323,62842.9299999998,41613.38000000008,9789.690000000002,4628.489999999999
2013,6,10966.279999999924,16507.039999999917,9243,111563.12999999963,7986.66,2111.29000000002,68651.50999999969,33141.42,5896.169999999998,3874.0299999999966
2013,7,12502.839999999947,18761.21000000001,11347,130638.84999999986,10062.930000000002,2659.800000000033,85267.35999999987,32864.140000000014,9034.359999999997,3472.989999999999
2013,8,11908.569999999918,17876.269999999913,11419,152658.26999999967,10610.16,2804.2700000000423,86955.09999999982,43744.46000000014,18655.21,3303.4999999999977
2013,9,11645.32999999995,17473.029999999937,10522,135468.98999999976,9425.59,2491.210000000029,80488.17999999967,39685.91000000004,11985.179999999998,3309.719999999998
2013,10,17285.69000000002,26124.500000000393,20302,319547.48000000237,16882.40000000001,4461.940000000079,247670.13999999932,52970.27000000009,12331.900000000003,6575.170000000007
2013,11,13895.52999999987,20852.450000000146,12319,164997.99000000008,10695.019999999993,2826.8100000000395,102091.36999999949,49680.15000000001,7208.580000000006,6017.8899999999985
2013,12,21122.849999999788,31730.920000000562,17206,242383.57000000068,14182.060000000001,3748.7800000000775,162346.73999999982,61813.25000000013,11142.450000000006,7081.129999999994
2014,1,12374.329999999989,18573.840000000047,12273,189569.12000000087,11071.86,2926.2900000000577,82689.13999999981,95835.81000000039,8270.15000000001,2774.019999999999
2014,2,12894.159999999845,19393.439999999995,9830,132521.39999999953,8773.470000000001,2319.2400000000293,83715.40999999989,33533.51999999999,6916.760000000012,8355.709999999995
2014,3,12148.479999999936,18235.110000000062,10425,131713.54000000018,9345.2,2470.0600000000327,70463.60999999994,47758.68000000021,9532.930000000004,3958.3199999999997
2014,4,12184.739999999982,18280.53000000003,10845,141315.0400000004,9673.659999999998,2556.980000000031,87483.57999999991,39911.830000000045,10661.270000000008,3258.3599999999983
2014,5,12782.23999999991,19181.129999999965,11100,156529.14000000054,10382.870000000003,2744.350000000049,85097.50999999986,38307.44000000009,8125.960000000011,24998.230000000043
2014,6,13041.709999999894,19609.009999999973,11058,139794.28000000044,10211.52,2698.980000000037,71606.80999999998,41821.12000000008,13913.290000000017,12453.059999999996
2014,7,13774.749999999827,20666.000000000135,12485,163529.65999999983,10978.649999999996,2901.9000000000347,100500.09999999974,41381.850000000086,12140.830000000009,9506.879999999994
2014,8,12759.389999999947,19147.559999999972,9897,139338.87000000084,8712.78,2303.0700000000265,85298.70999999986,37783.91000000001,9561.47000000001,6694.779999999996
2014,9,13546.36999999986,20326.76000000005,11638,179718.48000000112,10431.650000000007,2757.2900000000427,107525.54999999954,35921.62,27257.119999999933,9014.190000000002
2014,10,16317.579999999816,24541.240000000333,14832,204408.53000000108,12648.419999999998,3343.180000000063,127170.96999999965,46964.200000000106,11158.230000000003,19115.130000000012
2014,11,15599.229999999856,23443.440000000275,14584,196933.3600000015,12470.160000000005,3296.1200000000595,128682.11999999972,43677.64000000014,11841.590000000013,12732.009999999995
2014,12,22976.880000000132,34528.46000000057,17973,279568.31000000256,15239.990000000002,4028.6600000000917,187761.28000000003,66315.23000000016,12050.430000000006,13441.37
2015,1,12046.099999999948,18075.75000000004,11773,139892.64000000057,10521.060000000007,2780.9100000000376,75620.63999999988,49769.85000000018,8411.840000000007,6090.309999999999
2015,2,11917.13999999997,17895.709999999995,10188,142013.71000000104,8878.58,2346.9700000000194,81607.2599999998,49509.36999999999,6407.450000000009,4489.629999999999
2015,3,13857.06999999993,20800.180000000022,13730,178114.16000000035,12311.400000000005,3253.970000000035,98786.90000000007,60305.54000000022,11043.690000000011,7978.029999999989
2015,4,12396.899999999925,18599.850000000028,10010,126916.30000000005,8938.210000000006,2362.7800000000243,72812.9499999999,40915.09000000004,9198.16000000001,3990.0999999999976
2015,5,11072.299999999914,16619.70999999996,10171,120570.63000000031,9031.090000000004,2387.2500000000296,69523.35999999994,38497.27000000005,7755.660000000008,4794.339999999997
2015,6,15086.079999999818,22638.110000000124,13367,186322.32000000056,11707.35,3094.490000000034,110348.15000000007,61313.83000000024,9606.66000000001,5053.679999999996
2015,7,12117.379999999926,18205.849999999984,10744,138423.85000000053,9213.360000000002,2435.310000000021,80583.76999999989,41607.47000000001,8900.760000000013,7331.849999999992
2015,8,11592.119999999912,17401.910000000025,11194,135021.72999999992,9926.020000000004,2623.6300000000188,69441.83999999992,49549.50000000011,8271.490000000013,7758.899999999995
2015,9,13765.60999999988,20653.45999999999,12055,160125.0500000009,10572.2,2794.520000000033,92671.42999999983,49819.70000000021,9971.620000000015,7662.299999999991
2015,10,16052.969999999856,24093.60000000031,16452,263150.5900000015,13722.430000000006,3627.140000000067,162091.96000000046,45316.53000000006,34461.09999999998,21281.000000000015
2015,11,15088.639999999841,22643.040000000135,13632,201583.65000000194,11823.540000000005,3125.3100000000577,107664.40999999955,48319.500000000175,28649.13999999994,16950.599999999988
2015,12,25018.100000000242,37569.16000000068,19972,297386.9100000047,16612.570000000007,4391.640000000096,201144.05000000063,66831.94000000024,12345.800000000014,17065.119999999977
2016,1,16838.249999999945,25277.65000000035,13406,198574.19000000105,11316.860000000006,2990.630000000054,128685.27,46965.65000000016,11059.96000000002,11863.309999999985
2016,2,19378.88999999996,29078.550000000552,21824,303096.0399999975,18933.170000000013,5002.650000000098,169470.02000000057,85471.80999999987,33546.04999999995,14608.159999999985
2016,3,18370.00000000001,27558.63000000067,14872,223446.12000000107,12768.020000000008,3374.180000000059,125328.43000000012,77841.15999999983,9511.1,10765.429999999991
2016,4,15976.239999999934,23985.16000000055,16637,226273.24000000092,13384.410000000007,3536.8600000000665,131899.02000000005,62398.33,13075.209999999995,18900.679999999982
2016,5,17293.64,25959.400000000656,14806,216143.09000000102,12263.05000000001,3240.640000000063,139275.62000000052,56765.390000000014,5057.269999999999,15044.809999999983
2016,6,19817.320000000025,29735.970000000638,18355,280584.9600000011,15260.150000000005,4032.680000000075,161515.93000000037,89450.53999999994,7712.7,21905.78999999999
2016,7,14698.959999999925,22059.910000000247,12888,199834.8800000006,10586.670000000004,2797.690000000037,130607.58000000006,50285.53000000004,9101.129999999997,9840.639999999998
2016,8,19773.00000000024,29661.710000000538,13916,217787.04,11911.16,3144.3500000000795,113785.9300000001,64816.63999999998,24275.529999999995,14908.939999999988
2016,9,8861.539999999999,13293.549999999941,6444,88841.21999999994,5693.9800000000005,1504.5400000000063,58112.45999999981,21456.140000000018,6859.440000000008,2413.1799999999994
2016,10,10741.629999999988,16113.799999999932,5790,99642.73999999995,5207.17,1375.7700000000066,75112.40000000002,17487.879999999986,5998.780000000008,1043.68
2016,11,11152.529999999984,16730.939999999944,7675,133929.8900000001,8245.600000000002,2178.6200000000254,64488.22999999996,29468.39000000003,37819.77999999995,2153.49
2016,12,15148.729999999974,22724.920000000056,6746,134229.40000000005,5556.169999999999,1468.3700000000122,110567.40999999999,12488.609999999993,6008.540000000008,5164.839999999997
2017,1,15108.569999999969,22664.740000000085,11201,160659.91000000038,10406.359999999997,2749.280000000029,83071.75999999991,35888.46000000002,32115.270000000062,9584.419999999991
2017,2,12678.389999999972,19019.129999999972,11815,179916.69999999958,11731.080000000002,3099.44000000003,83690.13999999988,35802.62,52440.39999999991,7983.540000000004
2017,3,14476.589999999978,21716.680000000026,15303,216775.09999999896,14200.220000000001,3751.8000000000375,105747.17999999975,63604.369999999966,36931.880000000085,10491.669999999995
2017,4,13475.000000000007,20214.08000000005,12303,178097.60999999972,12249.829999999998,3236.6000000000413,82453.26999999984,43553.52999999995,46321.65999999987,5769.150000000003
2017,5,15841.280000000002,23763.860000000026,15214,219994.66999999946,15299.640000000001,4042.4000000000424,96722.57999999974,55021.909999999996,60155.559999999816,8094.620000000005
